# R  E_0  E_1  E_2  E_3  E_4  E_5  E_6
9.833035279235594617e-01 -1.007694491866766573e-01 -7.889956312712120834e-02 -4.497944414015838527e-02 -2.076117790724284207e-02 -7.387014000556722110e-03 -1.638779955431093113e-03 -1.202500784942993806e-04
9.655329822381938376e-01 -1.049420788474740851e-01 -7.958373224508884236e-02 -4.427733304896010191e-02 -2.103615965040392735e-02 -7.407054601366250789e-03 -1.638400207770171870e-03 -1.202500784943970807e-04
9.483933435002376289e-01 -9.250187499896672660e-02 -7.790945971447224561e-02 -4.431181790404466886e-02 -2.107045912199278018e-02 -7.435154653594129581e-03 -1.639726418305037297e-03 -1.202500784942412131e-04
9.318515991368613305e-01 -8.780406739053586707e-02 -7.609722878018876369e-02 -4.402827283422372506e-02 -2.114531560585352493e-02 -7.468544201638891052e-03 -1.641807574348047105e-03 -1.202500784944629731e-04
9.158770002945152422e-01 -8.538682208368950088e-02 -7.664385953728003464e-02 -4.316725196993168728e-02 -2.109002956329609699e-02 -7.476282863235515080e-03 -1.643207348874709765e-03 -1.202500784944938593e-04
9.004408710760685164e-01 -7.192489744189287104e-02 -7.389792441442996629e-02 -4.451444258550218969e-02 -2.106314410807221676e-02 -7.431882539827325100e-03 -1.640140922404244783e-03 -1.202500784943421930e-04
8.855164367488407295e-01 -5.602313428707886289e-02 -7.566953850010446625e-02 -4.470045555973135853e-02 -2.110920856967125545e-02 -7.469134358880353056e-03 -1.642447011077212502e-03 -1.202500784942021276e-04
8.710786687583704779e-01 -6.137564585662802497e-02 -7.662944951715289221e-02 -4.367096273785288363e-02 -2.108642543040846126e-02 -7.461807614585844010e-03 -1.641978161228220328e-03 -1.202500784944677436e-04
8.571041446606425529e-01 -5.558477206823908556e-02 -7.805817914590562623e-02 -4.579991584961162765e-02 -2.128899314203929263e-02 -7.461835635470110556e-03 -1.641214987942411037e-03 -1.202500784942815996e-04
8.435709213238956616e-01 -4.787728469931576414e-02 -7.697703378035701538e-02 -4.444148031314169855e-02 -2.099228256920197822e-02 -7.440823680656210269e-03 -1.640262815835479872e-03 -1.202500784942957214e-04
8.304584199561667601e-01 -4.012900329548077516e-02 -7.602237914356138604e-02 -4.511471054764411986e-02 -2.130210051030441074e-02 -7.459480310406428095e-03 -1.640726179439759179e-03 -1.202500784943155216e-04
8.177473216915315257e-01 -3.245815583230293733e-02 -7.336211219806341999e-02 -4.274113653411229508e-02 -2.099166744856989508e-02 -7.498732930360317572e-03 -1.645085166926199983e-03 -1.202500784942559447e-04
