# R  E_0  E_1  E_2  E_3  E_4  E_5  E_6 
1.058261239836099543e+00 -1.429428879124436946e-01 -9.055644543947205527e-02 -5.030876007288678786e-02 -2.309498830293502114e-02 -7.985249396915666820e-03 -1.707887360531371197e-03 -1.188934795869692602e-04
1.037910062146943924e+00 -1.439921583140576500e-01 -9.109524261226986663e-02 -5.049873776074426113e-02 -2.313702281174387365e-02 -7.991238314390719522e-03 -1.708258972305658555e-03 -1.188924232182930112e-04
1.018326853427190093e+00 -1.449842408878126987e-01 -9.159828066431863203e-02 -5.067309330347880003e-02 -2.317568177967119225e-02 -7.996893631667147118e-03 -1.708645750277122287e-03 -1.188975754710660062e-04
9.994689487340940870e-01 -1.459146155859029070e-01 -9.206127306193123694e-02 -5.083109665744006689e-02 -2.321073017581695708e-02 -8.002084865127295776e-03 -1.709009448949449714e-03 -1.189037380564488119e-04
9.812967860298377198e-01 -1.467764096498518356e-01 -9.248130495562600917e-02 -5.097198435427603702e-02 -2.324178795509791728e-02 -8.006622166961123443e-03 -1.709293463640301249e-03 -1.189031901796608749e-04
9.637736291364479291e-01 -1.475620058408064761e-01 -9.285760911577928267e-02 -5.109636812223489200e-02 -2.326926442088611546e-02 -8.010702638161386335e-03 -1.709567432563461123e-03 -1.189058973556465369e-04
9.468653198533522053e-01 -1.482607157997362091e-01 -9.318775386623467938e-02 -5.120385285343809212e-02 -2.329298859122025389e-02 -8.014258745780045157e-03 -1.709815336131605135e-03 -1.189098459616121182e-04
9.305400557179495102e-01 -1.488605554398724218e-01 -9.346808068294631955e-02 -5.129338229128704851e-02 -2.331249981167302088e-02 -8.017114617996229375e-03 -1.709988344262834345e-03 -1.189084997680372102e-04
9.147681903667979064e-01 -1.493514175114605269e-01 -9.369632419504170251e-02 -5.136499630134364058e-02 -2.332808036207452418e-02 -8.019471549565752519e-03 -1.710162521249379911e-03 -1.189128865374812190e-04
8.995220538606847338e-01 -1.497190458056839035e-01 -9.386743045926476681e-02 -5.141701899536454956e-02 -2.333911804011598590e-02 -8.021143426996776155e-03 -1.710292103664751671e-03 -1.189171128031134349e-04
8.847757906826406726e-01 -1.499468960351620916e-01 -9.397565979498817557e-02 -5.144764295829773459e-02 -2.334504939054047115e-02 -8.021995521287857145e-03 -1.710351466200604742e-03 -1.189182273025401549e-04
8.705052134135657926e-01 -1.500128201730714927e-01 -9.401370109347861881e-02 -5.145453940257597308e-02 -2.334518637676671893e-02 -8.021880558766236735e-03 -1.710316416786887908e-03 -1.189136708347410601e-04
8.566876703435091223e-01 -1.498811540312334767e-01 -9.397152850161549775e-02 -5.143501748116940941e-02 -2.333894267191916061e-02 -8.020751428394590210e-03 -1.710200801206726009e-03 -1.189063866656982693e-04
8.433019254943918686e-01 -1.494836675142505733e-01 -9.383193229623176812e-02 -5.138542913012133367e-02 -2.332595970691761500e-02 -8.018805552998005404e-03 -1.710113050024847630e-03 -1.189130623480745162e-04
8.303280497175551389e-01 -1.486832515081653039e-01 -9.355178219817084084e-02 -5.129351551415306520e-02 -2.330288457269230618e-02 -8.015190971641793227e-03 -1.709860831504433128e-03 -1.189096075637277854e-04
8.177473216915315257e-01 -1.473067501946185853e-01 -9.305611233356769763e-02 -5.113840235285722902e-02 -2.326539331241236908e-02 -8.009405488650003097e-03 -1.709457746250386736e-03 -1.189038213023638560e-04
8.055421377856877285e-01 -1.453546844165283236e-01 -9.225157204379597076e-02 -5.088466337617372076e-02 -2.320508457580378048e-02 -8.000245979846783151e-03 -1.708846025529362454e-03 -1.188989193697934967e-04
7.936959298770747129e-01 -1.434237678059875343e-01 -9.115956599723032405e-02 -5.050359438600707934e-02 -2.311188253769019818e-02 -7.985936704310345191e-03 -1.707872638672336407e-03 -1.188885833161291950e-04
7.821930903136388169e-01 -1.427045318152583286e-01 -9.016129513569684506e-02 -5.005174311395597930e-02 -2.298978448287827825e-02 -7.966422901951576707e-03 -1.706516863785840533e-03 -1.188726197011205610e-04
7.710189033091583433e-01 -1.441201098944226988e-01 -8.995525319062636083e-02 -4.975141607734567817e-02 -2.288293074735102406e-02 -7.947604673302771650e-03 -1.705218209506730205e-03 -1.188669234163406086e-04
7.601594821357898768e-01 -1.477069685844897284e-01 -9.100048826404003033e-02 -4.988279035346487866e-02 -2.287040339958358592e-02 -7.941618395913882522e-03 -1.704692667806949986e-03 -1.188610285152484977e-04
7.496017115505704265e-01 -1.528816683713479785e-01 -9.319072976921338736e-02 -5.054431678879514611e-02 -2.300774668094081321e-02 -7.959878637057715700e-03 -1.705841708629128074e-03 -1.188724092172428921e-04
