# R  E_0  E_1  E_2  E_3  E_4  E_5  E_6
1.652355412902476006e+00 -5.320665914479105751e-02 -3.782506780409669589e-02 -2.568609509453917417e-02 -1.496101051130921400e-02 -6.427336061641024390e-03 -1.598392990340154196e-03 -1.205654033894264579e-04
1.602784750515401813e+00 -5.594748339677152460e-02 -3.903781138851719623e-02 -2.578206003246494293e-02 -1.487943962049602387e-02 -6.403308856278114303e-03 -1.595967198304704474e-03 -1.205374486232380473e-04
1.556101699529516047e+00 -5.974574247635541790e-02 -4.109737096090984587e-02 -2.634401008272707623e-02 -1.486288977872268768e-02 -6.369530736222415480e-03 -1.591976804482950897e-03 -1.204895280259956399e-04
1.512061085391888549e+00 -6.449612879137828214e-02 -4.393582439280713237e-02 -2.752273267512708732e-02 -1.509104984154512052e-02 -6.370512712680964640e-03 -1.589799723395884240e-03 -1.204575966020038314e-04
1.470444725243487794e+00 -7.005323563319587610e-02 -4.742270668674725131e-02 -2.926082971320426163e-02 -1.564558117980169305e-02 -6.454705597433226839e-03 -1.594793943642001943e-03 -1.205055984739391065e-04
1.431057812960180087e+00 -7.625161458802032222e-02 -5.138905546540665364e-02 -3.139407435857941020e-02 -1.646739226848766002e-02 -6.629674151338233942e-03 -1.609474519560200045e-03 -1.206692856681966237e-04
1.393725870013392765e+00 -8.292769238634389861e-02 -5.565288625900532971e-02 -3.373346675057850574e-02 -1.742798396744123235e-02 -6.859007229748866064e-03 -1.630659079924419094e-03 -1.209122651443513908e-04
1.358292161453730218e+00 -8.994345439793208219e-02 -6.004902386414662230e-02 -3.611023024020659777e-02 -1.839999979228321147e-02 -7.093772349467682148e-03 -1.652502889771647124e-03 -1.211609024218930023e-04
1.324615496293720440e+00 -9.721624667121554764e-02 -6.446838918395447759e-02 -3.841466120569336090e-02 -1.930245328057583060e-02 -7.302200032512355665e-03 -1.671168222457912120e-03 -1.213685111965663946e-04
1.292568347189840150e+00 -1.047267701743558321e-01 -6.887517958613165181e-02 -4.061067340783004048e-02 -2.011202579667090151e-02 -7.476992822483072114e-03 -1.686006613625350495e-03 -1.215292702119037774e-04
1.262035236626300572e+00 -1.124884329348871809e-01 -7.327832990204016794e-02 -4.270772314033649542e-02 -2.083911107443169042e-02 -7.623810311722697963e-03 -1.697860173794349392e-03 -1.216546795822496705e-04
1.232911346550308984e+00 -1.205113330660196880e-01 -7.769176425339063830e-02 -4.472382778469174980e-02 -2.150033771846952824e-02 -7.749868082157024274e-03 -1.707628519438215411e-03 -1.217561822142937747e-04
1.205101316176993897e+00 -1.287865808196893003e-01 -8.211506295795380217e-02 -4.666820836255985983e-02 -2.210720245661904060e-02 -7.860139866599374220e-03 -1.715899498284700940e-03 -1.218414314572900762e-04
1.178518198908383718e+00 -1.372855723678152451e-01 -8.653134521859939809e-02 -4.853942146294337734e-02 -2.266532958625869232e-02 -7.957467672742163378e-03 -1.722999086297662824e-03 -1.219129404729947909e-04
1.153082554327627074e+00 -1.459646888641341622e-01 -9.091220486641338194e-02 -5.032931854421351936e-02 -2.317693808932030919e-02 -8.043542916206809085e-03 -1.729140124237560014e-03 -1.219750843084831246e-04
1.128721655292536319e+00 -1.547700412467416520e-01 -9.522309445948018425e-02 -5.202693476061309719e-02 -2.364271876497619010e-02 -8.119411252971673112e-03 -1.734440047177181069e-03 -1.220272321323934150e-04
