# R  g_LO
1.635494643383063051e+00 -6.871404124955082793e-01
1.587391859754149426e+00 -7.054383657681646547e-01
1.542037806618316687e+00 -7.220468256684581254e-01
1.499203423101140853e+00 -7.370506779330122660e-01
1.458684411665974956e+00 -7.505677835295974099e-01
1.420297979780028363e+00 -7.625786871149045076e-01
1.383880082862591676e+00 -7.729668788715250427e-01
1.349283080791026990e+00 -7.815487835031196262e-01
1.316373737357099616e+00 -7.882336144995703009e-01
1.285031505515263905e+00 -7.929165817922078086e-01
1.255147051898629629e+00 -7.956477217757267351e-01
1.226620982537297122e+00 -7.963509664763933626e-01
1.199362738480912904e+00 -7.950316667268355619e-01
1.173289635470458281e+00 -7.916432365846609587e-01
1.148326026205129358e+00 -7.861015087740117480e-01
1.124402567325855751e+00 -7.783887722031699319e-01
1.101455576155940363e+00 -7.685335965623131260e-01
1.079426464632821547e+00 -7.564759405022049021e-01
1.058261239836099543e+00 -7.422218842954518836e-01
1.037910062146943924e+00 -7.258053330535966241e-01
1.018326853427190093e+00 -7.071892667085089013e-01
9.994689487340940870e-01 -6.864352137557074851e-01
9.812967860298377198e-01 -6.635549075202515912e-01
9.637736291364479291e-01 -6.385806970526256565e-01
9.468653198533522053e-01 -6.115697701124114261e-01
9.305400557179495102e-01 -5.825996520963794278e-01
9.147681903667979064e-01 -5.517172621570096691e-01
8.995220538606847338e-01 -5.190419265844751218e-01
8.847757906826406726e-01 -4.846967285882307630e-01
8.705052134135657926e-01 -4.487435326640253352e-01
8.566876703435091223e-01 -4.114157422804065045e-01
8.433019254943918686e-01 -3.728446107721475333e-01
8.303280497175551389e-01 -3.332147017779310549e-01
8.177473216915315257e-01 -2.928472220575211726e-01
8.055421377856877285e-01 -2.521437733149262117e-01
7.936959298770747129e-01 -2.116883067122433404e-01
7.821930903136388169e-01 -1.721438071151637772e-01
7.710189033091583433e-01 -1.338087459056941930e-01
7.601594821357898768e-01 -9.592629029718714728e-02
7.496017115505704265e-01 -5.639705936259521019e-02
7.393331949539874159e-01 -1.201449558799925522e-02
7.293422058329875890e-01 4.100694691579035572e-02
7.196176430885476982e-01 1.064845268056515970e-01
7.101489898900141817e-01 1.874724391559604297e-01
7.009262757355984030e-01 2.861791857690010321e-01
6.919400414312958381e-01 4.042025158185929556e-01
6.831813067296339526e-01 5.434143472289122423e-01
6.746415403955134948e-01 7.058278716574670764e-01
6.663126324893959840e-01 8.941381463953521624e-01
6.581868686785496969e-01 1.111467950546510375e+00
6.502569064053141945e-01 1.361296858275210520e+00
6.425157527576319527e-01 1.648877066025756122e+00
6.349567439016597925e-01 1.979141304063545714e+00
6.275735259493148144e-01 2.358324605729015033e+00
6.203600371452997475e-01 2.795083136642609656e+00
6.133104912686485610e-01 3.298372703547026941e+00
6.064193621532705247e-01 3.879166421912410900e+00
5.996813692404564522e-01 4.551972670491876372e+00
5.930914640839678453e-01 5.332736739215580002e+00
5.866448177352291404e-01 6.240578435824042813e+00
5.803368089423771581e-01 7.299041858029561070e+00
5.741630131025646788e-01 8.537027828551776665e+00
5.681191919120113232e-01 9.989454671141734465e+00
5.622012836629278754e-01 1.169886576304409687e+01
5.564053941406297277e-01 1.371565360941450251e+01
5.507277880779701817e-01 1.610290864971056024e+01
5.451648811276876838e-01 1.893831472050262121e+01
5.397132323164107737e-01 2.231643349820560829e+01
5.343695369469413370e-01 2.635617558883918932e+01
5.291306199180497716e-01 3.120048240563084008e+01
5.239934294334085418e-01 3.702360100972465773e+01
5.189550310734719618e-01 4.404392306441217642e+01
5.140126022061054512e-01 5.255022322114499644e+01
5.091634267135950465e-01 6.291772471911802000e+01
5.044048900153371706e-01 7.555558710913800269e+01
4.997344743670470435e-01 9.095665820926818412e+01
4.951497544187254962e-01 1.099050681788214519e+02
4.906483930149188599e-01 1.333363805542871887e+02
4.862281372219916520e-01 1.622378549213381689e+02
4.818868145682239645e-01 1.982574331818070732e+02
4.776223294835493793e-01 2.431549405517706646e+02
4.734326599266761026e-01 2.991130855269504423e+02
4.693158541881833345e-01 3.701190051318214955e+02
4.652700278589747551e-01 4.592655696419027436e+02
4.612933609541972624e-01 5.723013479658518463e+02
4.573840951833989532e-01 7.166969818449883860e+02
4.535405313583283915e-01 9.011048146837235890e+02
4.497610269303423669e-01 1.138419917748239413e+03
4.460439936499261959e-01 1.444422123787329383e+03
4.423878953413203363e-01 1.842401772533255553e+03
4.387912457856998349e-01 2.357641553875165755e+03
4.352526067067828963e-01 3.039631664296292456e+03
4.317705858531286633e-01 3.928788416009344019e+03
4.283438351717545611e-01 5.112779178752375628e+03
4.249710490680400077e-01 6.679975407688579253e+03
4.216509627471959343e-01 8.773697632969549886e+03
4.183823506328765429e-01 1.160341927214069437e+04
4.151640248587775694e-01 1.541194726514194008e+04
